date,id,author,updated,title,teaser,body,url,image,channels,stocks,tags
2022-07-01,27931071,Anusuya Lahiri,"Fri, 01 Jul 2022 09:12:10 -0400","Here's Why Micron, TSMC, AMD, Nvidia, Qualcomm And Other Chipmakers Are Trading Lower Premarket",,,https://www.benzinga.com/news/22/07/27931071/heres-why-micron-asml-tsmc-amd-nvidia-qualcomm-and-other-chipmakers-are-trading-lower-premarket,"{'@is_array': 'true', 'item': [{'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2022/07/01/micron_crucial_ssd_mx300_525gb-8478.jpg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2022/07/01/micron_crucial_ssd_mx300_525gb-8478.jpg'}, {'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2022/07/01/micron_crucial_ssd_mx300_525gb-8478.jpg'}]}","{'@is_array': 'true', 'item': [{'name': 'News'}, {'name': 'Movers'}, {'name': 'Tech'}, {'name': 'Trading Ideas'}]}","{'@is_array': 'true', 'item': [{'name': 'AAPL'}, {'name': 'AMAT'}, {'name': 'AMD'}, {'name': 'ASML'}, {'name': 'KLAC'}, {'name': 'LRCX'}, {'name': 'MSFT'}, {'name': 'MU'}, {'name': 'NVDA'}, {'name': 'QCOM'}, {'name': 'TSM'}, {'name': 'UMC'}, {'name': 'WDC'}]}","{'@is_array': 'true', 'item': [{'name': 'Information Technology'}, {'name': 'Semiconductor Equipment'}, {'name': ""why it's moving""}]}"
2022-07-01,27932131,Anusuya Lahiri,"Fri, 01 Jul 2022 11:01:12 -0400",Blizzard Entertainment Acquires This Boston-Based Studio For Undisclosed Terms,,,https://www.benzinga.com/m-a/22/07/27932131/activision-blizzards-blizzard-entertainment-completed-acquisition-of-this-boston-based-studio-for-un,"{'@is_array': 'true', 'item': [{'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2022/07/01/proleblizz-blog.png'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2022/07/01/proleblizz-blog.png'}, {'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2022/07/01/proleblizz-blog.png'}]}","{'@is_array': 'true', 'item': [{'name': 'M&A'}, {'name': 'News'}, {'name': 'Tech'}]}","{'@is_array': 'true', 'item': [{'name': 'ATVI'}, {'name': 'MSFT'}, {'name': 'NTES'}, {'name': 'TCEHY'}]}","{'@is_array': 'true', 'item': {'name': 'Briefs'}}"
2022-07-01,27923049,Dylan Wechsler,"Fri, 01 Jul 2022 11:10:35 -0400","Apple, Microsoft, Disney And American Express Continue To Plummet: Dow Jones Index Has Worst First Half In Decades",,,https://www.benzinga.com/news/large-cap/22/06/27923049/apple-microsoft-disney-and-american-express-continue-to-plummet-dow-jones-index-has-worst-first-ha,"{'@is_array': 'true', 'item': [{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2022/06/30/4571155058_b0cb8efd4d_c.jpg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2022/06/30/4571155058_b0cb8efd4d_c.jpg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2022/06/30/4571155058_b0cb8efd4d_c.jpg'}]}","{'@is_array': 'true', 'item': [{'name': 'Large Cap'}, {'name': 'News'}, {'name': 'Broad U.S. Equity ETFs'}, {'name': 'Short Ideas'}, {'name': 'Movers & Shakers'}, {'name': 'Economics'}, {'name': 'Market-Moving Exclusives'}, {'name': 'Trading Ideas'}, {'name': 'ETFs'}, {'name': 'General'}]}","{'@is_array': 'true', 'item': [{'name': 'AXP'}, {'name': 'DIS'}, {'name': 'MSFT'}, {'name': 'SPY'}, {'name': 'DIA'}, {'name': 'APPL'}]}","{'@is_array': 'true', 'item': [{'name': 'Dow Jones'}, {'name': 'Inflation'}, {'name': 'Luca Maestri'}, {'name': 'Recession'}]}"
2022-07-01,27934204,Anusuya Lahiri,"Fri, 01 Jul 2022 14:05:43 -0400",Citi Remains Unfazed By Enron Collapse Predictor's Bearishness On These Data Center Stocks,,,https://www.benzinga.com/news/22/07/27934204/citi-remains-unfazed-by-enron-collapse-predictors-bearishness-on-these-datacenter-stocks,"{'@is_array': 'true', 'item': [{'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2022/07/01/abtech_11.png'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2022/07/01/abtech_11.png'}, {'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2022/07/01/abtech_11.png'}]}","{'@is_array': 'true', 'item': [{'name': 'Analyst Color'}, {'name': 'News'}, {'name': 'Short Sellers'}, {'name': 'Reiteration'}, {'name': 'Small Cap'}, {'name': 'Analyst Ratings'}, {'name': 'Tech'}]}","{'@is_array': 'true', 'item': [{'name': 'AMZN'}, {'name': 'CYXT'}, {'name': 'DLR'}, {'name': 'EQIX'}, {'name': 'GOOG'}, {'name': 'GOOGL'}, {'name': 'MSFT'}]}","{'@is_array': 'true', 'item': [{'name': 'Briefs'}, {'name': 'Jim Chanos'}]}"
2022-07-01,27935265,Anusuya Lahiri,"Fri, 01 Jul 2022 15:27:39 -0400",Microsoft Azure Data Centers are Operating With Limited Server Capacity: Report,,,https://www.benzinga.com/news/22/07/27935265/microsoft-azure-data-centers-operating-with-limited-server-capacity-report,"{'@is_array': 'true', 'item': [{'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2022/07/01/azure-rainer_stropek_via_flickr.jpg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2022/07/01/azure-rainer_stropek_via_flickr.jpg'}, {'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2022/07/01/azure-rainer_stropek_via_flickr.jpg'}]}","{'@is_array': 'true', 'item': [{'name': 'News'}, {'name': 'Tech'}, {'name': 'Media'}]}","{'@is_array': 'true', 'item': [{'name': 'AAPL'}, {'name': 'AMZN'}, {'name': 'GOOG'}, {'name': 'GOOGL'}, {'name': 'MSFT'}, {'name': 'NET'}]}",
2022-07-05,27951007,Anusuya Lahiri,"Tue, 05 Jul 2022 08:14:48 -0400",Google Accused of Political Bias In Spam Filtering Political Emails; New Proposal Could Change That,,,https://www.benzinga.com/government/22/07/27951007/experts-see-googles-political-stance-costing-its-market-share,"{'@is_array': 'true', 'item': [{'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2022/07/05/gmail_google_email_39935471170.jpg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2022/07/05/gmail_google_email_39935471170.jpg'}, {'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2022/07/05/gmail_google_email_39935471170.jpg'}]}","{'@is_array': 'true', 'item': [{'name': 'Government'}, {'name': 'News'}, {'name': 'Regulations'}, {'name': 'Politics'}, {'name': 'Tech'}, {'name': 'Media'}, {'name': 'General'}]}","{'@is_array': 'true', 'item': [{'name': 'GOOG'}, {'name': 'GOOGL'}, {'name': 'MSFT'}]}",
2022-07-05,22719115,Henry Khederian,"Tue, 05 Jul 2022 08:50:20 -0400","This Chipmaker Has A Better 5-Year Return Than Amazon, Apple, Nvidia, Microsoft, Ford, Wells Fargo And Starbucks",,,https://www.benzinga.com/news/21/08/22719115/this-chipmaker-has-a-better-5-year-return-than-amazon-apple-bank-of-america-and-ford,"{'@is_array': 'true', 'item': [{'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2022/06/21/business-3560917.jpg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2022/06/21/business-3560917.jpg'}, {'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2022/06/21/business-3560917.jpg'}]}","{'@is_array': 'true', 'item': [{'name': 'News'}, {'name': 'Education'}, {'name': 'Top Stories'}, {'name': 'Movers'}, {'name': 'Tech'}, {'name': 'Trading Ideas'}, {'name': 'General'}]}","{'@is_array': 'true', 'item': [{'name': 'AAPL'}, {'name': 'AMD'}, {'name': 'AMZN'}, {'name': 'BAC'}, {'name': 'F'}, {'name': 'MSFT'}, {'name': 'NVDA'}, {'name': 'SBUX'}, {'name': 'WFC'}]}",
2022-07-05,27952791,Chris Katje,"Tue, 05 Jul 2022 10:35:37 -0400","Here's How Much Elon Musk, Jeff Bezos And Top 10 Billionaires Lost In The First Half of 2022",,,https://www.benzinga.com/news/22/07/27952791/heres-how-much-elon-musk-jeff-bezos-and-top-ten-billionaires-lost-in-the-first-half-of-2022,"{'@is_array': 'true', 'item': [{'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2022/07/05/musk_bezos_zuckerberg_wealth.jpg'}, {'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2022/07/05/musk_bezos_zuckerberg_wealth.jpg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2022/07/05/musk_bezos_zuckerberg_wealth.jpg'}]}","{'@is_array': 'true', 'item': [{'name': 'News'}, {'name': 'Management'}]}","{'@is_array': 'true', 'item': [{'name': 'AMZN'}, {'name': 'GOOG'}, {'name': 'GOOGL'}, {'name': 'META'}, {'name': 'MSFT'}, {'name': 'TSLA'}]}","{'@is_array': 'true', 'item': [{'name': 'Bernard Arnault'}, {'name': 'Bill Gates'}, {'name': 'Binance'}, {'name': 'Bloomberg Billionaires Index'}, {'name': 'Carlos Slim'}, {'name': 'Changpeng Zhao'}, {'name': 'Charles Koch'}, {'name': 'Elon Musk'}, {'name': 'Gautam Adani'}, {'name': 'Jeff Bezos'}, {'name': 'larry page'}, {'name': 'Mark Zuckerberg'}, {'name': 'Mukesh Ambani'}, {'name': 'sergey brin'}, {'name': 'Steve Ballmer'}, {'name': 'Warren Buffett'}]}"
2022-07-05,27946585,Chris Katje,"Tue, 05 Jul 2022 11:53:21 -0400","Grammy Award Winning Musician Timbaland Debuts Congo, A Bored Ape Yacht Club Which Stars In His New Music Video",,,https://www.benzinga.com/markets/cryptocurrency/22/07/27946585/grammy-award-winning-musician-timbaland-debuts-congo-a-bored-ape-yacht-club-which-stars-in,"{'@is_array': 'true', 'item': [{'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2022/07/05/bored_ape_timbaland4.jpg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2022/07/05/bored_ape_timbaland4.jpg'}, {'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2022/07/05/bored_ape_timbaland4.jpg'}]}","{'@is_array': 'true', 'item': [{'name': 'Cryptocurrency'}, {'name': 'News'}, {'name': 'Markets'}]}","{'@is_array': 'true', 'item': [{'name': '$ETH'}, {'name': 'GOOG'}, {'name': 'GOOGL'}, {'name': 'MSFT'}, {'name': 'SONY'}, {'name': 'TCEHY'}]}","{'@is_array': 'true', 'item': [{'name': 'Ape Fest'}, {'name': 'Bill Gates'}, {'name': 'Bored Ape Yacht Club'}, {'name': 'Eminem'}, {'name': 'Epic Games'}, {'name': 'Ethereum'}, {'name': 'NFT'}, {'name': 'NFTs'}, {'name': 'non-fungible tokens'}, {'name': 'Otherdeed for Otherside'}, {'name': 'Snoop Dogg'}, {'name': 'Timbaland'}, {'name': 'Unreal Engine'}]}"
2022-07-05,27954560,Anusuya Lahiri,"Tue, 05 Jul 2022 12:13:17 -0400",Read Alibaba's Role In Shanghai's Recent Infamous Police Database Hack As China Struggles To Censor Breach News,,,https://www.benzinga.com/government/22/07/27954560/read-alibabas-role-in-chinas-recent-infamous-hack-as-weibo-tencent-baidu-struggle-to-censor-the-brea,"{'@is_array': 'true', 'item': [{'size': 'large', 'url': 'https://cdn.benzinga.com/files/imagecache/2048x1536xUP/images/story/2022/07/05/alibaba_cloud_-photo_by_fooksou_lamimo_via_wikimedia-_0.jpg'}, {'size': 'thumb', 'url': 'https://cdn.benzinga.com/files/imagecache/250x187xUP/images/story/2022/07/05/alibaba_cloud_-photo_by_fooksou_lamimo_via_wikimedia-_0.jpg'}, {'size': 'small', 'url': 'https://cdn.benzinga.com/files/imagecache/1024x768xUP/images/story/2022/07/05/alibaba_cloud_-photo_by_fooksou_lamimo_via_wikimedia-_0.jpg'}]}","{'@is_array': 'true', 'item': [{'name': 'Government'}, {'name': 'News'}, {'name': 'Penny Stocks'}, {'name': 'Regulations'}, {'name': 'Small Cap'}, {'name': 'Tech'}, {'name': 'Media'}]}","{'@is_array': 'true', 'item': [{'name': 'BABA'}, {'name': 'BIDU'}, {'name': 'MSFT'}, {'name': 'NVDA'}, {'name': 'TCEHY'}, {'name': 'WB'}, {'name': 'ZH'}]}",
